[Li]	 Lithium
[#8]-[#6](-[#6](-[#8])=[#8])-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1	 DL-Mandelic acid
[#8]-[#6]-[#6](-[#8])-[#6]-[#8]-[#15](=[#8])(-[#8])-[#8]	 Glycerophosphate
[#6]-[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#16](=[#8])(=[#8])-[#8]	 Tosilate Or Tosylate Uncharged
[#7]-[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#15](=[#8])(-[#8])-[#8]	 Phosphanilate
[#8]-[#6](=[#8])-[#6]1:[#6]:[#6]:[#6]:[#6](:[#6]:1)-[#16](=[#8])(=[#8])-[#8]	 U_Metazoate
[#8]-[#6]1:[#6](:[#6]:[#6](:[#6]:[#6]:1-[#7](=[#8])-[#8])-[#7](=[#8])-[#8])-[#7](=[#8])-[#8]	 Picrate
[#6]-[#6](-[#6])(-[#6])-[#6]-[#6](=[#8])-[#8]	 U_Tebutate
[#6]-[#6]-[#6]-[#6](=[#8])-[#8]-[#6]-[#6]	 Butyrate
[#6]-[#6]-[#6]-[#6]-[#6]-[#6](=[#8])-[#8]	 U_Caproate
[#6]-[#6]-[#6]-[#6]-[#6]-[#6](-[#8])=[#8]	 Caproic acid
[#8]-[#6](=[#8])-[#6]-[#6]-[#6]-[#6]-[#6](=[#8])-[#8]	 Adipate
[#8]-[#6]-[#6](-[#8])-[#6]1-[#8]-[#6](=[#8])-[#6](=[#6]-1-[#8])-[#8]	 Ascorbate
[#6]1:[#6]:[#6]:[#6](-[#6](=[#8])-[#8]):[#6](-[#8]):[#6]:1-[#16](=[#8])(=[#8])-[#8]	 Sulfosalicylate
[#8]-[#6]-[#6]-[#7](-[#6])(-[#6])-[#6]	 Choline
[#8]-[#6]-[#6]-[#7]1-[#6]-[#6]-[#6]-[#6]-1	 Epolamine, 1-(2-Hydroxyethyl)pyrrolidine
[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#6]-[#6]-[#6](=[#8])-[#8]	 U_Phenpropionate
[#8]-[#6](=[#8])-[#6]-[#6](-[#8])(-[#6]-[#6](=[#8])-[#8])-[#6](=[#8])-[#8]	 Citrate
[#6]-[#6]-[#7](-[#6]-[#6])-[#6]-[#6]	 Triethylamine
[#8]-[#6]-[#6]-[#7]1-[#6]-[#6]-[#8]-[#6]-[#6]-1	 4-(2-Hydroxyethyl)morpholine
[#6]-[#16]-[#6]-[#6]-[#6](-[#7])-[#6](=[#8])-[#6]	 U_Methionil
[#6]-[#6](=[#8])-[#7]-[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#6](-[#8])=[#8]	 4-Acetamidobenzoic acid
[#8]-[#6](=[#8])-[#6]-[#7]-[#6](=[#8])-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1	 Hippurate Charged
[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#6](=[#8])-[#7]-[#6]-[#6](=[#8])-[#8]	 U_Etiprate
[#8]-[#6](=[#8])-[#6]1:[#6](-[#8]):[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2:[#6]:[#6]:1	 1-Hydroxy-2-naphthoic acid
[#8]-[#6](=[#8])-[#6]1:[#6]:[#6]:[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2:[#6]:1-[#8]	 Xinafoate
[#8]-[#16](=[#8])(=[#8])-[#6]1:[#6]:[#6]:[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2:[#6]:1	 Napsylate
[#6]-[#6]-[#7](-[#6]-[#6])-[#6]-[#6]-[#8]	 2-(Diethylamino)ethanol
[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6](=[#8])-[#8]	 U_Enanthate
[#8]-[#6](-[#6]=[#8])-[#6](-[#8])-[#6](-[#8])-[#6](-[#8])-[#6](=[#8])-[#8]	 Incorrect Glucuronate
[#8]-[#6]1-[#8]-[#6](-[#6](-[#8])-[#6](-[#8])-[#6]-1-[#8])-[#6](=[#8])-[#8]	 Glucuronate
[#8]-[#6]1-[#8]-[#6](-[#6](-[#8])-[#6](-[#8])-[#6]-1-[#8])-[#6](-[#8])=[#8]	 Incorrect Ring Gluconate
[#6]1-[#6]-[#6]-[#6]-[#6]-1-[#6]-[#6]-[#6](=[#8])-[#8]	 U_Cypionate
[#8]-[#6]-[#8]-[#6](=[#8])-[#6](-[#6]-[#6])-[#6]-[#6]	 U_Etzadroxil
[#7]-[#6]-[#6]-[#6]-[#6]-[#6](-[#7])-[#6](=[#8])-[#8]	 Lysine
[#8]-[#16](=[#8])(=[#8])-[#7]-[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1	 Cyclamate
[#8]-[#6](-[#6](-[#8])-[#6](-[#8])-[#6](=[#8])-[#8])-[#6](-[#8])-[#6](=[#8])-[#8]	 Saccharate
[#8]-[#6@@H](-[#6@@H](-[#8])-[#6@H](-[#8])-[#6](-[#8])=[#8])-[#6@@H](-[#8])-[#6](-[#8])=[#8]	 Mucic acid
[#8]-[#6]-[#6]-[#7](-[#6]-[#6]-[#8])-[#6]-[#6]-[#8]	 U_Trolamine, Triethanolamine
[#8]-[#6]-[#6](-[#8])-[#6](-[#8])-[#6](-[#8])-[#6](-[#8])-[#6](=[#8])-[#8]	 Gluconate
[#6]-[#6]1:[#6]:[#6](-[#6]):[#6](:[#6](-[#6]):[#6]:1)-[#16](-[#8])(=[#8])=[#8]	 Mesitylene Sulfonate
[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6](-[#8])=[#8]	 Caprylic acid
[#6]-[#6]12-[#6]=[#6]-[#6](-[#6](=[#8])-[#8])(-[#6]-[#6]-1)-[#6]-[#6]-2	 U_Cyclotate
[#7]-[#6@@H](-[#6]-[#6]-[#6]-[#7]-[#6](-[#7])=[#7])-[#6](-[#8])=[#8]	 L-Arginine
[#8]-[#16](=[#8])(=[#8])-[#6]1:[#6]:[#6]:[#6]:[#6]2:[#6](:[#6]:[#6]:[#6]:[#6]:1:2)-[#16](=[#8])(=[#8])-[#8]	 Napadisilate
[#6]1:[#6]:[#6](-[#8]):[#6]:[#6]:[#6]:1-[#6](=[#8])-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#6](=[#8])-[#8]	 U_Hybenzate
[#8]-[#6]-[#6](-[#8])-[#6](-[#8])-[#6](-[#8])-[#6](-[#8])-[#6](-[#8])-[#6](=[#8])-[#8]	 Gluceptate
[#8]-[#6]-[#6@@H](-[#8])-[#6@@H](-[#8])-[#6@H](-[#8])-[#6@@H](-[#8])-[#6@@H](-[#8])-[#6](-[#8])=[#8]	 D-Glucoheptonic acid
[#6]-[#7]-[#6]-[#6](-[#8])-[#6](-[#8])-[#6](-[#8])-[#6](-[#8])-[#6]-[#8]	 DiMeglumine
[#6]-[#6]1(-[#6])-[#6@H](-[#6]-[#6]-[#6@@]-1(-[#6])-[#6](-[#8])=[#8])-[#6](-[#8])=[#8]	 (+)-Camphoric acid
[#6]-[#6]1(-[#6])-[#6]2-[#6]-[#6]-[#6]-1(-[#6]-[#16](=[#8])(=[#8])-[#8])-[#6](=[#8])-[#6]-2	 Camsilate Or Camsylate Uncharged
[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6](-[#8])=[#8]	 Capric acid
[#6]-[#6]-[#6]-[#6]-[#6]1-[#6]-[#6]-[#6](-[#6]-[#6]-1)-[#6](=[#8])-[#8]	 U_Buciclate
[#8]-[#6](=[#8])-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]=[#6]	 Undecylenate
[#6](-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1)-[#7]-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1	 Benethamine
[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6](=[#8])-[#8]	 U_Undecylate
[#6]1-[#6]-[#6]-[#6](-[#6]-[#6]-1)-[#7]-[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1	 DICYCLOHEXYLAMINE
[#8]-[#6](=[#8])-[#6]-[#7](-[#6]-[#6](=[#8])-[#8])-[#6]-[#6]-[#7](-[#6]-[#6](=[#8])-[#8])-[#6]-[#6](=[#8])-[#8]	 U_Edta
[#6]-[#6](-[#8])(-[#6])-[#6]-[#6]-[#6]-[#6](-[#8])(-[#6](=[#8])-[#8])-[#6]-[#6](=[#8])-[#8]-[#6]	 U_Mepesuccinate
[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6](=[#8])-[#8]	 U_Laurate
[#6](-[#6]-[#7]-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1)-[#7]-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1	 Benzathine
[#8]-[#6](=[#8])-[#6](-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1)(-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1)-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1	 Trifenatate
[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#8]-[#16](=[#8])(=[#8])-[#8]	 Estolate Or Laurylsulfate
[#8]-[#6](=[#8])-[#6]1:[#6]:[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2:[#6](-[#6]-[#6]2:[#6](-[#8]):[#6](:[#6]:[#6]3:[#6]:[#6]:[#6]:[#6]:[#6]:2:3)-[#6](=[#8])-[#8]):[#6]:1-[#8]	 Pamoate
[#8]-[#6](=[#8])-[#6]1:[#6](-[#8]):[#6]:[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2:[#6]:1-[#6]-[#6]1:[#6](-[#6](=[#8])-[#8]):[#6](-[#8]):[#6]:[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:1:2	 Incorrect Pamoate
[#8]-[#6]-[#6](-[#8])-[#6](-[#8]-[#6]1-[#8]-[#6](-[#6]-[#8])-[#6](-[#8])-[#6](-[#8])-[#6]-1-[#8])-[#6](-[#8])-[#6](-[#8])-[#6](=[#8])-[#8]	 Lactobionate
[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6](=[#8])-[#8]	 Palmitate
[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#8]-[#15](=[#8])(-[#8])-[#8]	 U_Fostedate
[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]=[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6](=[#8])-[#8]	 U_Oleate
[#8]-[#6](=[#8])-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]=[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]	 U_Elaidate
[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6](=[#8])-[#8]	 Acistrate Or Stearate
